#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+-------------------------------------------+------------------+------------------+
| run:fill    | time              | ncms | hltpath                                   | delivered(/ub)   | recorded(/ub)    |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4PFJet50_v12                        | 529.303000853    | 524.807840415    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4PFJet50_v12                        | 1195.219447793   | 1184.439853284   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4PFJet50_v12                        | 757.189277226    | 697.060004470    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4PFJet80_v12                        | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4PFJet80_v12                        | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4PFJet80_v12                        | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4PFJet80_v12                        | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4PFJet80_v12                        | 42309.080491948  | 38949.804471158  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v2 | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v2 | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v2 | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v2 | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v2 | 409067.405588511 | 376900.479108237 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiPFJet15_FBEta3_NoCaloMatched_v11    | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiPFJet15_FBEta3_NoCaloMatched_v11    | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiPFJet15_FBEta3_NoCaloMatched_v11    | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiPFJet15_FBEta3_NoCaloMatched_v11    | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiPFJet15_FBEta3_NoCaloMatched_v11    | 21836.985351162  | 20110.616718343  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiPFJet15_NoCaloMatched_v10           | 10939.920120725  | 10833.296055507  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiPFJet15_NoCaloMatched_v10           | 2872.104441638   | 2843.729417297   |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiPFJet15_NoCaloMatched_v10           | 1146.823168515   | 1137.083654231   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiPFJet15_NoCaloMatched_v10           | 2539.841326560   | 2516.934688228   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiPFJet15_NoCaloMatched_v10           | 2729.623168895   | 2513.827089793   |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiPFJet25_FBEta3_NoCaloMatched_v11    | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiPFJet25_FBEta3_NoCaloMatched_v11    | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiPFJet25_FBEta3_NoCaloMatched_v11    | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiPFJet25_FBEta3_NoCaloMatched_v11    | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiPFJet25_FBEta3_NoCaloMatched_v11    | 21836.985351162  | 20110.616718343  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiPFJet25_NoCaloMatched_v10           | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiPFJet25_NoCaloMatched_v10           | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiPFJet25_NoCaloMatched_v10           | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiPFJet25_NoCaloMatched_v10           | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiPFJet25_NoCaloMatched_v10           | 21836.985351162  | 20110.616718343  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiPFJetAve15_HFJEC_v11                | 4976.510427706   | 4927.874343484   |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiPFJetAve15_HFJEC_v11                | 1241.565511323   | 1229.107862949   |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiPFJetAve15_HFJEC_v11                | 529.303000853    | 524.807840415    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiPFJetAve15_HFJEC_v11                | 1195.219447793   | 1184.439853284   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiPFJetAve15_HFJEC_v11                | 757.189277226    | 697.060004470    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiPFJetAve25_HFJEC_v11                | 4976.510427706   | 4927.874343484   |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiPFJetAve25_HFJEC_v11                | 1241.565511323   | 1229.107862949   |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiPFJetAve25_HFJEC_v11                | 529.303000853    | 524.807840415    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiPFJetAve25_HFJEC_v11                | 1195.219447793   | 1184.439853284   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiPFJetAve25_HFJEC_v11                | 757.189277226    | 697.060004470    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_DiPFJetAve35_HFJEC_v11                | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_DiPFJetAve35_HFJEC_v11                | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_DiPFJetAve35_HFJEC_v11                | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_DiPFJetAve35_HFJEC_v11                | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_DiPFJetAve35_HFJEC_v11                | 21836.985351162  | 20110.616718343  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_Ele20_WPLoose_Gsf_v2                  | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_Ele20_WPLoose_Gsf_v2                  | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_Ele20_WPLoose_Gsf_v2                  | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_Ele20_WPLoose_Gsf_v2                  | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_Ele20_WPLoose_Gsf_v2                  | 409067.405588511 | 376900.479108237 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_Ele20_WPTight_Gsf_v2                  | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_Ele20_WPTight_Gsf_v2                  | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_Ele20_WPTight_Gsf_v2                  | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_Ele20_WPTight_Gsf_v2                  | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_Ele20_WPTight_Gsf_v2                  | 409067.405588511 | 376900.479108237 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_Ele20_eta2p1_WPLoose_Gsf_v2           | 55245.783918416  | 54688.267787764  |
